Date	Close
20121217	43338.33
20121214	43050.92
20121213	43006.31
20121211	43183.28
20121210	43134.51
20121207	42797.67
20121206	42589.68
20121205	42416.29
20121204	42337.82
20121203	42323.84
20121130	41833.52
20121129	42090.69
20121128	41912.95
20121127	41769.38
20121126	41878.27
20121123	41919.55
20121122	42032.35
20121121	41668.06
20121120	41184
20121116	40830.6
20121115	40573.66
20121114	40750.42
20121113	41078.5
20121112	40859.9
20121109	40677.07
20121108	40830.65
20121107	41010.98
20121106	41720.62
20121105	41722.14
20121101	41761.78
20121031	41619.96
20121030	41599
20121029	41817.11
20121026	41836.92
20121025	41877.27
20121024	42095.16
20121023	42041.14
20121022	42122.25
20121019	42386.83
20121018	42592.78
20121017	42559.98
20121016	42518.35
20121015	42008.55
20121012	41665.48
20121011	41745.39
20121010	41470.05
20121009	41755.16
20121008	41756.96
20121005	41934.08
20121004	41421.74
20121003	41004.84
20121002	41199.29
20121001	41124.56
20120928	40866.96
20120927	40729.7
20120926	40332.98
20120925	40215.35
20120924	40561.22
20120921	40338.7
20120920	40500.35
20120919	40941.31
20120918	40590.96
20120917	40621.46
20120914	40693.47
20120913	40654.38
20120912	40248.38
20120911	39998.97
20120910	39991.19
20120907	40043.87
20120906	39987.06
20120905	39573.92
20120904	39549.43
20120903	39802.94
20120831	39421.65
20120830	39885.39
20120829	39908.9
20120828	39950.9
20120827	39972.85
20120824	40211.41
20120823	39879.01
20120822	40027.13
20120821	40096.64
20120820	40350
20120817	40547.49
20120816	40714.87
20120815	40792.59
20120814	40644.97
20120813	40366.27
20120810	40850
20120809	40677.48
20120808	40851.18
20120807	41070.24
20120806	41096.44
20120803	40998.4
20120802	40759
20120801	40805.4
20120731	40704.28
20120730	41333.11
20120727	41476.48
20120726	40977.32
20120725	40435.1
20120724	40697.87
20120723	40947.55
20120720	40808.73
20120719	40752.53
20120718	40747.47
20120717	41273.02
20120716	40910.8
20120713	40498.47
20120712	40268.41
20120711	40221.8
20120710	40049.59
20120709	39963.26
20120706	39831.65
20120705	40040.69
20120704	40353.43
20120703	40434.71
20120702	40108.92
20120629	40199.55
20120628	39637.66
20120627	39490.68
20120626	39339.15
20120625	39157.51
20120622	39071.5
20120621	38515.94
20120620	38973.64
20120619	38688.65
20120618	38060.82
20120615	37738.58
20120614	37440.48
20120613	37142.15
20120612	37271
20120611	37035.75
20120608	37323.91
20120607	37247.34
20120606	37274.79
20120605	37089.36
20120604	37059.78
20120601	37182.37
20120531	37872.95
20120530	38070.67
20120529	38126.85
20120528	37642.8
20120525	37486.25
20120524	37553.21
20120523	37422.38
20120522	37481.19
20120521	37512.41
20120518	36875.33
20120517	37261.24
20120516	37511.08
20120515	37939.63
20120514	38352.11
20120511	38888.79
20120510	39170.9
20120509	39122.82
20120508	39214.64
20120507	40045.51
20120504	39408.61
20120503	39580.05
20120502	39597.42
20120430	39461
20120427	39324.14
20120426	39212.16
20120425	39066.01
20120424	38849.08
20120423	38961.79
20120420	39354.86
20120419	39395.64
20120418	39330.12
20120417	39355.17
20120416	39054.84
20120413	39136.99
20120412	39357.81
20120411	39167.14
20120410	39035.17
20120409	39432.15
20120404	39398.88
20120403	39924.93
20120402	39908.54
20120330	39521.24
20120329	39125.35
20120328	38910.68
20120327	38956.32
20120326	38863.15
20120323	38334.9
20120322	38323.51
20120321	38434.51
20120320	38055.27
20120316	38258.45
20120315	38134.57
20120314	37971.44
20120313	38019.76
20120312	37590.17
20120309	37691.01
20120308	37815.43
20120307	37548.54
20120306	37487.63
20120305	38155.27
20120302	38327.43
20120301	38033.45
20120229	37816.69
20120228	38021.42
20120227	37785.72
20120224	37945.22
20120223	38027.84
20120222	37912.55
20120221	37859.48
20120220	38296.68
20120217	37914.7
20120216	38212.24
20120215	37864.55
20120214	37831.87
20120213	38204.33
20120210	38149.22
20120209	38242.28
20120208	38140.55
20120207	38062.42
20120203	38092.81
20120202	37711.16
20120201	37709.65
20120131	37422.68
20120130	37241.61
20120127	37184.71
20120126	37240.78
20120125	37212.86
20120124	36853.3
20120123	37195.73
20120120	37384.21
20120119	37680.06
20120118	37506.76
20120117	36601.2
20120116	36916.16
20120113	36548.56
20120112	37320.97
20120111	37307.64
20120110	37190.9
20120109	36785.34
20120106	36804.05
20120105	37017.95
20120104	37387.63
20120103	37384.34
20120102	37335.03
20111230	37077.52
20111229	37185.73
20111228	36644.86
20111227	37091.42
20111226	37217.97
20111223	37041.42
20111222	37066.77
20111221	36628.06
20111220	36239.39
20111219	35587.78
20111216	36054.63
20111215	36006.9
20111214	36012.67
20111213	36471.44
20111209	37227.21
20111208	36641.31
20111207	37054.56
20111206	37071.17
20111205	37103.17
20111202	36756.06
20111201	36567.63
20111130	36829.15
20111129	35708.71
20111128	35558.18
20111125	34573.04
20111124	35323.6
20111123	35375.61
20111122	35969.61
20111118	36284.2
20111117	36110.68
20111116	36708.41
20111115	37293.38
20111114	37069.9
20111111	37555.65
20111110	36615.07
20111109	36553.85
20111108	37351.81
20111107	37024.61
20111104	36689.38
20111103	36579.07
20111101	35742.57
20111031	36159.99
20111028	36708.64
20111027	36727.21
20111026	35818.58
20111025	35290.15
20111024	35265.56
20111021	35020.74
20111020	34395.5
20111019	34523.27
20111018	35011.71
20111017	34125.7
20111014	34848.42
20111013	34584.75
20111012	34470.36
20111011	33681.8
20111010	33547.24
20111007	33005.09
20111006	33279.72
20111005	33000.29
20111004	32966.23
20111003	33133.88
20110930	33503.28
20110929	33686.16
20110928	33438.16
20110927	33783.68
20110926	33385.94
20110923	32588.43
20110922	32381.06
20110921	34019.22
20110920	34337.97
20110919	35076.96
20110915	35181.44
20110914	34661.78
20110913	33947.62
20110912	33792.56
20110909	33812.62
20110908	34712.38
20110907	35179.59
20110906	34439.34
20110905	33880.02
20110902	35134.43
20110901	35637.86
20110831	35721.1
20110830	35148.91
20110829	35016.04
20110826	34042.22
20110825	33904.38
20110824	34644.92
20110823	34675.53
20110822	33593.65
20110819	33136.89
20110818	33246.63
20110817	34049.58
20110816	33948.48
20110815	33901.08
20110812	33361.5
20110811	33590.33
20110810	32219.33
20110809	32381.55
20110808	31715.78
20110805	33697.87
20110804	33322.63
20110803	34484.37
20110802	34814.94
20110801	35730.71
20110729	35999.34
20110728	35917.8
20110727	35597.63
20110726	35341.27
20110725	35479.67
20110722	35755.48
20110721	35555.83
20110720	35341.67
20110719	35752.02
20110718	35781.43
20110715	36155.86
20110714	36164.61
20110713	36254.7
20110712	36178.59
20110711	36359.49
20110708	36499.85
20110707	36583.29
20110706	36468.01
20110705	36640.93
20110704	36847.1
20110701	36800.72
20110630	36558.07
20110629	36579.59
20110628	36188.91
20110627	35601.73
20110624	35347.85
20110623	35326.66
20110622	35399.44
20110621	35276.6
20110620	35109.97
20110617	35025.74
20110616	35220.99
20110615	35318.39
20110614	35445.65
20110613	34997.97
20110610	34963.78
20110609	35233.4
20110608	34879.07
20110607	34895.83
20110606	34673.48
20110603	35123.89
20110602	35416.25
20110601	35410.51
20110531	35832.79
20110530	35639.38
20110527	35819.2
20110526	35742.21
20110525	35498.42
20110524	35382.56
20110523	35215.02
20110520	35298.67
20110519	35276.47
20110518	35364.33
20110517	34819.57
20110516	35130.6
20110513	35045.14
20110512	35161.26
20110511	35380.53
20110510	35678.92
20110509	35467.01
20110506	35212.23
20110505	35325.09
20110504	35531.22
20110503	35873.21
20110502	36592.61
20110429	36962.62
20110428	36722.64
20110427	36826.93
20110426	36892.24
20110425	36860.68
20110420	36816.31
20110419	36440.22
